feature,mean_abs_shap
num__PM2_5_lag1,3.5892239625952245
num__month_cos,1.48037144089942
num__month_sin,1.0996052754875452
num__Longitude,0.715170951860999
num__PM2_5_lag2,0.6616277825325204
num__Temp_Mean_lag1,0.5035569543034429
num__Precipitation,0.46235014853128625
num__Temp_Mean,0.4315507570923658
num__PM2_5_roll3_mean,0.43012763857115127
num__NO2_lag1,0.3261717821126776
num__Precipitation_lag1,0.306098612185064
num__Wind_Speed_lag1,0.27177310597967336
num__Wind_Speed,0.22190945263884132
num__PM2_5_roll3_std,0.19842725040797096
num__Latitude,0.1867904342578533
num__PM2_5_lag3,0.1621739158855655
num__Altitude,0.12031902581120997
num__O3_lag1,0.11211151094545281
num__PM10_lag1,0.09582815811272218
num__Green_Ratio,0.049619934734728005
num__Population_Density,0.048347779262275584
cat__Station_Area_Urban,0.03282308423397206
cat__Station_Area_Suburban,0.025674354366784665
cat__Station_Type_Background,0.016136819998887584
cat__Station_Type_Industrial,0.014706236708067012
cat__Station_Type_Traffic,0.011043087752755516
cat__Station_Area_Rural,0.006003482452444225
