feature,mean_abs_shap,ridge_coef,abs_ridge_coef,ridge_direction,rank_shap,rank_abs_ridge,cross_model_strength
num__PM2_5_lag1,3.5892239625952245,1.7351381604969458,1.7351381604969458,increase,1,5,6.227799464069037
num__PM2_5_lag2,0.6616277825325204,3.5735851610841523,3.5735851610841523,increase,5,1,2.3643832258192274
num__month_sin,1.0996052754875452,-1.8666352518765923,1.8666352518765923,decrease,3,4,2.0525619703745237
num__month_cos,1.48037144089942,1.349500147806971,1.349500147806971,increase,2,6,1.997761478302986
num__Longitude,0.715170951860999,0.9336313481066654,0.9336313481066654,increase,4,12,0.6677060199127116
num__PM2_5_roll3_mean,0.4301276385711512,1.3399368860559209,1.3399368860559209,increase,9,7,0.576343888633615
num__Temp_Mean,0.4315507570923658,-1.161482078287155,1.161482078287155,decrease,8,9,0.5012384702340362
num__Temp_Mean_lag1,0.5035569543034429,0.8457144665387115,0.8457144665387115,increase,6,13,0.42586540098059456
num__PM2_5_roll3_std,0.1984272504079709,2.03948309748911,2.03948309748911,increase,14,3,0.40468902328829576
num__PM2_5_lag3,0.1621739158855655,-2.199792337362384,2.199792337362384,decrease,16,2,0.3567489374851188
num__Wind_Speed,0.2219094526388413,-1.1550373577746302,1.1550373577746302,decrease,13,10,0.2563137078411817
num__NO2_lag1,0.3261717821126776,-0.7170499007446625,0.7170499007446625,decrease,10,15,0.23388144398960514
num__Precipitation_lag1,0.306098612185064,0.6609429656605926,0.6609429656605926,increase,11,19,0.20231372452218782
num__Precipitation,0.4623501485312862,0.4123818413095731,0.4123818413095731,increase,7,24,0.19066480558108642
num__Wind_Speed_lag1,0.2717731059796733,0.6283183679910976,0.6283183679910976,increase,12,21,0.17076003441301996
num__PM10_lag1,0.0958281581127221,1.1987650510318533,1.1987650510318533,increase,19,8,0.11487544685028582
num__Latitude,0.1867904342578533,0.47144389663537,0.47144389663537,increase,15,23,0.08806121018073526
num__Altitude,0.1203190258112099,-0.6856881490385032,0.6856881490385032,decrease,17,18,0.08250133010260441
num__O3_lag1,0.1121115109454528,-0.7109161990641781,0.7109161990641781,decrease,18,16,0.0797018892326833
cat__Station_Area_Suburban,0.0256743543667846,1.1510809326246143,1.1510809326246143,increase,23,11,0.029553259769053257
